Date,Open,High,Low,Close,Volume,Open_Oil_INR,High_Oil_INR,Low_Oil_INR,Close_Oil_INR,Volume_Oil,"('Close', '^NSEI')_Nifty","('High', '^NSEI')_Nifty","('Low', '^NSEI')_Nifty","('Open', '^NSEI')_Nifty","('Volume', '^NSEI')_Nifty",Close_DXY,High_DXY,Low_DXY,Open_DXY,Volume_DXY
2003-12-01,18155.615212512203,18423.81117910461,18109.15566635132,18407.41718930053,1664.0,1383.1543393804168,1387.8448368942263,1352.9409428230283,1369.0145074539178,67095.0,,,,,,90.3499984741211,90.54000091552734,89.87999725341797,90.16000366210938,0.0
2003-12-02,18375.017852783203,18561.91471862793,18201.22054862976,18420.4285099518,1519.0,1368.527473446884,1415.9174534247577,1357.6880061645495,1404.4607011154949,95511.0,,,,,,89.63999938964844,90.54000091552734,89.58000183105469,90.3499984741211,0.0
2003-12-03,18398.82294472656,18445.02328491211,18258.21188735962,18397.644413833623,2672.0,1405.4655642456055,1423.554038743896,1380.1662210369104,1416.6049936485288,80917.0,,,,,,89.5,89.69000244140625,89.33000183105469,89.5999984741211,0.0
2003-12-04,18396.837057583616,18473.26457977295,18207.60040283203,18369.50797937927,304.0,1416.5428278152467,1443.651399760056,1385.1432145367437,1423.8305009188844,100175.0,,,,,,89.5999984741211,90.0,89.23999786376953,89.43000030517578,0.0
2003-12-05,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,655.0,1422.526455322266,1425.3045704722608,1394.3753741299442,1396.6477895207208,74633.0,,,,,,89.13999938964844,89.81999969482422,89.05999755859375,89.70999908447266,0.0
2003-12-06,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,0.0,1422.526455322266,1425.3045704722608,1394.3753741299442,1396.6477895207208,0.0,,,,,,89.13999938964844,89.81999969482422,89.05999755859375,89.70999908447266,0.0
2003-12-07,18333.87469291687,18536.24901347654,18179.600524902344,18470.47385590209,0.0,1422.526455322266,1425.3045704722608,1394.3753741299442,1396.6477895207208,0.0,,,,,,89.13999938964844,89.81999969482422,89.05999755859375,89.70999908447266,0.0
2003-12-08,18599.274375915527,18631.431449890137,18398.593131393427,18488.102773864757,221.0,1394.2634462776186,1475.50018951355,1390.4488259243008,1459.5869698028546,101286.0,,,,,,88.75,89.19000244140625,88.63999938964844,89.08999633789062,0.0
2003-12-09,18506.697273254395,18605.86809031677,18456.319450378414,18544.93465491943,1224.0,1459.164418483124,1469.0039505157474,1434.734813462448,1442.8885626444244,88906.0,,,,,,88.61000061035156,88.95999908447266,88.37000274658203,88.75,0.0
2003-12-10,18481.39697772218,18749.2957611084,18404.652683514403,18429.700096844463,842.0,1440.2681003540056,1484.9260696878046,1428.6510028839111,1446.427390359422,102941.0,,,,,,88.8499984741211,89.23999786376953,88.52999877929688,88.56999969482422,0.0
2003-12-11,18412.363291955557,18511.988471984863,18263.251432901016,18388.66620833741,101.0,1447.8524581340023,1460.036367822264,1421.7852546127324,1447.5507091327672,75903.0,,,,,,88.87999725341797,89.55999755859375,88.77999877929688,89.04000091552734,0.0
2003-12-12,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089102,171.0,1452.972588307799,1509.936019500732,1447.5673538307965,1500.7429508258065,98948.0,,,,,,88.48999786376953,88.94000244140625,88.4000015258789,88.87999725341797,0.0
2003-12-13,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089102,0.0,1452.972588307799,1509.936019500732,1447.5673538307965,1500.7429508258065,0.0,,,,,,88.48999786376953,88.94000244140625,88.4000015258789,88.87999725341797,0.0
2003-12-14,18456.433833377087,18642.251534774783,18445.46895970765,18595.766885089102,0.0,1452.972588307799,1509.936019500732,1447.5673538307965,1500.7429508258065,0.0,,,,,,88.48999786376953,88.94000244140625,88.4000015258789,88.87999725341797,0.0
2003-12-15,18252.720583801274,18700.5,18241.074453253183,18605.505543127423,86.0,1456.2180660552986,1516.059986114502,1441.6625751294705,1508.628204259643,97766.0,,,,,,88.45999908447266,89.44999694824219,88.30000305175781,89.19999694824219,0.0
2003-12-16,18642.290725708008,18652.53978729248,18467.625,18537.303545370465,39.0,1508.206705455319,1517.224813279725,1483.7625346183777,1495.442443066102,64234.0,,,,,,88.30999755859375,88.5,88.18000030517578,88.38999938964844,0.0
2003-12-17,18603.822153320303,18687.292134216288,18494.49523071898,18700.26797485352,185.0,1493.853630485537,1536.197377505494,1487.9063313575753,1513.72307870636,45391.0,,,,,,87.94000244140625,88.55000305175781,87.79000091552734,88.36000061035156,0.0
2003-12-18,18753.49640974123,18778.28740168456,18513.0,18643.23975874635,85.0,1514.5308244778423,1540.6194403778063,1492.8375692367554,1531.34406565674,54039.0,,,,,,87.8499984741211,88.23999786376953,87.7699966430664,87.94000244140625,0.0
2003-12-19,18663.87529378664,18694.38666947023,18527.331467202748,18586.68331661378,94.0,1528.820474140928,1542.5596463281254,1489.087108307649,1499.8344900155644,82647.0,,,,,,88.11000061035156,88.37999725341797,87.81999969482422,87.87000274658203,0.0
2003-12-20,18663.87529378664,18694.38666947023,18527.331467202748,18586.68331661378,0.0,1528.820474140928,1542.5596463281254,1489.087108307649,1499.8344900155644,0.0,,,,,,88.11000061035156,88.37999725341797,87.81999969482422,87.87000274658203,0.0
2003-12-21,18663.87529378664,18694.38666947023,18527.331467202748,18586.68331661378,0.0,1528.820474140928,1542.5596463281254,1489.087108307649,1499.8344900155644,0.0,,,,,,88.11000061035156,88.37999725341797,87.81999969482422,87.87000274658203,0.0
2003-12-22,18602.803402203368,18725.30793952942,18592.15340204467,18662.591339581297,52.0,1494.219363276672,1501.210061615755,1441.164213180542,1448.5552674462888,82031.0,,,,,,87.98999786376953,88.30000305175781,87.77999877929688,88.27999877929688,0.0
2003-12-23,18651.447946490487,18743.41341209412,18574.594334246824,18654.87897491455,185.0,1447.4869226253504,1457.5679931640625,1416.4375066757202,1450.1785826789855,59363.0,,,,,,87.98999786376953,88.06999969482422,87.83999633789062,88.04000091552734,0.0
2003-12-24,18678.39602279663,18814.236546728527,18620.28025054932,18735.73659891356,165.0,1455.2354851560958,1502.5890312194824,1446.0767813903803,1493.2241918591317,60080.0,,,,,,87.54000091552734,87.97000122070312,87.44999694824219,87.94999694824219,0.0
2003-12-25,18678.39602279663,18814.236546728527,18620.28025054932,18735.73659891356,0.0,1455.2354851560958,1502.5890312194824,1446.0767813903803,1493.2241918591317,0.0,,,,,,87.54000091552734,87.97000122070312,87.44999694824219,87.94999694824219,0.0
2003-12-26,18678.39602279663,18814.236546728527,18620.28025054932,18735.73659891356,0.0,1455.2354851560958,1502.5890312194824,1446.0767813903803,1493.2241918591317,0.0,,,,,,87.62999725341797,87.6500015258789,87.43000030517578,87.48999786376953,0.0
2003-12-27,18678.39602279663,18814.236546728527,18620.28025054932,18735.73659891356,0.0,1455.2354851560958,1502.5890312194824,1446.0767813903803,1493.2241918591317,0.0,,,,,,87.62999725341797,87.6500015258789,87.43000030517578,87.48999786376953,0.0
2003-12-28,18678.39602279663,18814.236546728527,18620.28025054932,18735.73659891356,0.0,1455.2354851560958,1502.5890312194824,1446.0767813903803,1493.2241918591317,0.0,,,,,,87.62999725341797,87.6500015258789,87.43000030517578,87.48999786376953,0.0
2003-12-29,18816.70370866393,18952.164204956032,18765.89388656616,18893.724555371096,1.0,1488.1599550247192,1492.745059967041,1458.5597218505864,1475.7876625808713,46731.0,,,,,,87.3499984741211,87.72000122070312,87.22000122070312,87.68000030517578,0.0
2003-12-30,18989.37773293152,18996.04764936829,18937.68190467835,18968.53305130615,1.0,1475.7876625808713,1505.0118490188615,1470.8615238151542,1491.912269667664,53717.0,,,,,,87.0,87.41999816894531,86.9000015258789,87.38999938964844,0.0
2003-12-31,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,1.0,1495.6454544702135,1512.5255901779165,1467.0983116752614,1480.6355811447138,66694.0,,,,,,86.91999816894531,87.19999694824219,86.36000061035156,86.9800033569336,0.0
2004-01-01,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0,1495.6454544702135,1512.5255901779165,1467.0983116752614,1480.6355811447138,0.0,,,,,,86.91999816894531,87.19999694824219,86.36000061035156,86.9800033569336,0.0
2004-01-02,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0,1495.6454544702135,1512.5255901779165,1467.0983116752614,1480.6355811447138,0.0,,,,,,86.91999816894531,87.12999725341797,86.5,86.79000091552734,0.0
2004-01-03,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0,1495.6454544702135,1512.5255901779165,1467.0983116752614,1480.6355811447138,0.0,,,,,,86.91999816894531,87.12999725341797,86.5,86.79000091552734,0.0
2004-01-04,18963.946489788825,19006.797595922835,18949.642352856463,18926.82104833983,0.0,1495.6454544702135,1512.5255901779165,1467.0983116752614,1480.6355811447138,0.0,,,,,,86.91999816894531,87.12999725341797,86.5,86.79000091552734,0.0
2004-01-05,18925.99010501709,19251.211919784542,19206.42734527588,19295.76995412598,20.0,1475.1072655151363,1546.9317381401052,1466.9619389918516,1535.841411098023,105704.0,,,,,,86.06999969482422,86.69000244140625,85.9800033569336,86.43000030517578,0.0
2004-01-06,19296.618287854013,19349.77668215637,19287.404855871573,19258.116553662112,20.0,1534.9995532000758,1566.4973335586546,1513.7180897087092,1535.0013275520323,103405.0,,,,,,85.62999725341797,86.11000061035156,85.37000274658203,86.05000305175781,0.0
2004-01-07,19266.80414199829,19271.8805809021,19193.625,19148.77546074218,20.0,1534.056665206299,1544.0284187332145,1499.6437153816223,1525.910926405486,81675.0,,,,,,86.19999694824219,86.2699966430664,85.7300033569336,85.86000061035156,0.0
2004-01-08,19150.88380192872,19196.78070831299,19135.59051513672,19278.4313659668,20.0,1527.4408117553685,1546.660057067871,1514.5231099624652,1545.002568374024,92709.0,,,,,,85.56999969482422,86.63999938964844,85.44999694824219,86.23999786376953,0.0
2004-01-09,19276.736297607426,19285.329769546515,19172.99652989197,19337.666864923085,20.0,1551.6863925167854,1578.676497646331,1540.081449905396,1555.9929319624353,104687.0,,,,,,85.11000061035156,85.94000244140625,84.97000122070312,85.51000213623047,0.0
2004-01-10,19276.736297607426,19285.329769546515,19172.99652989197,19337.666864923085,0.0,1551.6863925167854,1578.676497646331,1540.081449905396,1555.9929319624353,0.0,,,,,,85.11000061035156,85.94000244140625,84.97000122070312,85.51000213623047,0.0
2004-01-11,19276.736297607426,19285.329769546515,19172.99652989197,19337.666864923085,0.0,1551.6863925167854,1578.676497646331,1540.081449905396,1555.9929319624353,0.0,,,,,,85.11000061035156,85.94000244140625,84.97000122070312,85.51000213623047,0.0
2004-01-12,19301.08703593141,19438.995679742424,19288.739122161875,19330.14740104368,3.0,1557.0510315643332,1580.7235038308718,1528.8749742507937,1574.3437968066428,99677.0,,,,,,85.55000305175781,85.56999969482422,84.80000305175781,85.12000274658203,0.0
2004-01-13,19291.46390778199,19320.95393797301,19133.135341644287,19199.118536764523,12.0,1578.1451314170845,1596.8480936927808,1553.2668334552,1560.1265943719482,120128.0,,,,,,85.51000213623047,85.72000122070312,85.2699966430664,85.61000061035156,0.0
